Country,Year,HIV/AIDS
Denmark,1990,2
Denmark,1991,2
Denmark,1992,3
Denmark,1993,3
Denmark,1994,206
Denmark,1995,248
Denmark,1996,171
Denmark,1997,73
Denmark,1998,48
Denmark,1999,51
Denmark,2000,35
Denmark,2001,40
Denmark,2002,43
Denmark,2003,50
Denmark,2004,47
Denmark,2005,40
Denmark,2006,32
Denmark,2007,36
Denmark,2008,30
Denmark,2009,39
Denmark,2010,41
Denmark,2011,30
Denmark,2012,34
Denmark,2013,35
Denmark,2014,23
Denmark,2015,29
Denmark,2016,27
Denmark,2017,26
Denmark,2018,25
Denmark,2019,24
